epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1167.52,0.79006,0.53816,1.11573,0.9128,0.96154,0.97554,0.80089,0.71124,0.42665,1.04217,0.0005348,0.0005348,0.0005348
76,1182.54,0.79239,0.53814,1.10714,0.8884,0.97157,0.97575,0.80195,0.7302,0.42939,1.0375,0.000515,0.000515,0.000515
77,1197.82,0.77483,0.53455,1.09991,0.90949,0.97157,0.97847,0.81225,0.70638,0.42633,1.02569,0.0004952,0.0004952,0.0004952
78,1213.16,0.76669,0.51019,1.08781,0.9034,0.97826,0.98085,0.81493,0.69818,0.41926,1.02653,0.0004754,0.0004754,0.0004754
79,1228.49,0.75368,0.52225,1.07724,0.9019,0.97659,0.98046,0.81526,0.71445,0.41376,1.03278,0.0004556,0.0004556,0.0004556
80,1244.08,0.75291,0.50551,1.07583,0.91999,0.96488,0.9783,0.82192,0.68711,0.41249,1.03024,0.0004358,0.0004358,0.0004358
81,1258.96,0.75547,0.51952,1.08342,0.91151,0.97826,0.98224,0.82527,0.68724,0.40491,1.01798,0.000416,0.000416,0.000416
82,1275.34,0.75483,0.51352,1.07868,0.92066,0.9702,0.98305,0.82389,0.67268,0.40411,1.00573,0.0003962,0.0003962,0.0003962
83,1290.76,0.749,0.50916,1.08044,0.92048,0.96789,0.98299,0.83145,0.68102,0.39886,1.01216,0.0003764,0.0003764,0.0003764
84,1306.47,0.74319,0.51168,1.07073,0.90738,0.98301,0.98062,0.82927,0.67055,0.40311,1.00732,0.0003566,0.0003566,0.0003566
85,1321.93,0.73692,0.49473,1.06898,0.90474,0.98472,0.98132,0.82809,0.66858,0.39914,1.01106,0.0003368,0.0003368,0.0003368
86,1336.83,0.72118,0.48045,1.06553,0.90403,0.98829,0.98038,0.83232,0.65619,0.39938,1.00676,0.000317,0.000317,0.000317
87,1352.67,0.71978,0.48634,1.06313,0.90741,0.98332,0.98121,0.83048,0.66125,0.39113,1.00539,0.0002972,0.0002972,0.0002972
88,1368.04,0.70824,0.48537,1.05079,0.90589,0.9819,0.98253,0.83234,0.64776,0.39178,0.99649,0.0002774,0.0002774,0.0002774
89,1383.65,0.71233,0.48127,1.05824,0.90954,0.97522,0.98202,0.83788,0.644,0.39249,0.992,0.0002576,0.0002576,0.0002576
90,1398.75,0.69669,0.46696,1.0464,0.90672,0.97531,0.98283,0.84054,0.6412,0.3881,0.99218,0.0002378,0.0002378,0.0002378
91,1415.37,0.62158,0.37807,1.0009,0.90691,0.97743,0.98273,0.84191,0.63956,0.39094,0.99231,0.000218,0.000218,0.000218
92,1431.48,0.61537,0.37107,0.99828,0.90409,0.98495,0.98209,0.84337,0.63201,0.38718,0.99013,0.0001982,0.0001982,0.0001982
93,1447.59,0.61329,0.36558,0.98683,0.91077,0.97288,0.98357,0.84231,0.63549,0.3866,0.98946,0.0001784,0.0001784,0.0001784
94,1462.7,0.6021,0.3717,0.9851,0.91738,0.97826,0.98335,0.84735,0.62627,0.37863,0.98666,0.0001586,0.0001586,0.0001586
95,1477.82,0.59847,0.35985,0.98604,0.90178,0.98997,0.98384,0.84611,0.62055,0.38219,0.98216,0.0001388,0.0001388,0.0001388
96,1493.11,0.59381,0.35569,0.981,0.90246,0.9902,0.98287,0.84891,0.61915,0.37459,0.97776,0.000119,0.000119,0.000119
97,1508.01,0.58509,0.35108,0.97412,0.89921,0.99164,0.98358,0.85014,0.62005,0.37782,0.98003,9.92e-05,9.92e-05,9.92e-05
98,1523.13,0.58767,0.35365,0.98039,0.90017,0.98829,0.98363,0.85143,0.61118,0.37787,0.97575,7.94e-05,7.94e-05,7.94e-05
99,1538.51,0.57209,0.34486,0.96459,0.90114,0.99082,0.98397,0.85155,0.6183,0.38226,0.97917,5.96e-05,5.96e-05,5.96e-05
100,1553.7,0.58227,0.35029,0.97805,0.90124,0.99192,0.98402,0.85108,0.6174,0.37818,0.97998,3.98e-05,3.98e-05,3.98e-05
